G,QBrec,Yds,TD,Int,Rate
16,14-2-0,4002,27,12,95,1
16,14-2-0,4500,33,16,99.9,1
16,14-2-0,3900,36,4,111,1
16,14-1-0,4642,45,6,122.5,1
16,13-3-0,5477,55,10,115.1,1
16,12-4-0,4381,38,5,112.2,1
16,15-1-0,3837,35,10,99.4,1
16,11-5-0,4944,38,7,117.1,1
16,13-3-0,4577,32,8,102.8,1
16,13-3-0,4299,48,5,121.5,1
16,13-3-0,4115,37,4,111.9,1
17,14-3-0,5250,41,12,105.2,1
17,10-7-0,4739,25,10,93.2,0
17,8-9-0,4694,25,9,90.7,0
17,13-4-0,4547,29,14,92.5,0
16,12-4-0,4475,35,12,100.8,0
17,9-8-0,4438,29,7,99.3,0
16,13-3-0,4283,35,14,96.6,0
17,9-8-0,4282,30,11,100.9,0
17,9-8-0,4113,25,8,95.2,0
15,14-1-0,3701,22,6,101.5,0
17,8-9-0,3695,26,12,91.1,0
13,8-5-0,3548,25,8,105.5,0
15,4-11-0,3524,16,11,84.4,0
15,6-9-0,3522,24,14,86.3,0
16,9-6-1,3205,15,5,92.5,0
15,3-10-1,3118,17,15,78.8,0
12,4-7-1,3057,14,13,83.9,0
14,6-8-0,2997,14,11,84.8,0
14,6-8-0,2871,18,9,95.2,0
12,8-4-0,2860,23,15,91.1,0
16,4-7-0,2608,12,6,88.9,0
12,6-6-0,2536,13,6,94.6,0
11,7-3-0,2437,16,4,103.0,0
13,7-5-0,2404,7,9,76.7,0
11,3-8-0,2368,14,7,87.2,0
15,3-12-0,2242,17,11,85.2,0
12,8-4-0,2242,17,7,91.1,0
13,5-8-0,2219,15,9,88.2,0
12,2-8-0,2163,10,8,79.0,0
9,3-6-0,2087,10,8,87.4,0
9,5-3-1,1859,12,6,89.6,0
8,2-5-0,1755,11,9,80.2,0
9,5-4-0,1688,6,7,72.8,0
9,5-0-0,1374,13,4,107.3,0
7,2-3-0,1252,4,5,81.1,0
4,1-3-0,1192,3,4,75.7,0
6,4-2-0,1143,7,3,92.6,0
6,3-3-0,1102,7,5,79.1,0
5,1-3-0,1051,5,3,75.2,0
9,4-1-0,1051,5,3,80.0,0
3,1-2-0,858,4,5,79.5,0
4,2-0-0,781,5,3,100.9,0
4,1-2-0,780,1,3,76.6,0
6,2-3-0,731,3,3,78.0,0
4,2-2-0,708,2,0,86.4,0
5,0-2-0,683,4,4,85.6,0
5,0-2-0,663,3,3,83.4,0
6,2-2-0,658,2,3,77.2,0
5,0-2-0,656,4,3,89.2,0
4,0-3-0,573,3,3,76.1,0
7,1-1-0,534,1,3,62.2,0
4,1-1-0,483,2,4,63.8,0
2,0-2-0,416,2,4,60.6,0
6,0-1-0,412,0,5,42.8,0
2,0-2-0,411,2,2,73.8,0
2,0-2-0,402,2,2,82.7,0
3,1-2-0,390,1,3,64.6,0
2,0-1-0,302,0,2,48.2,0
8,1-2-0,276,0,3,42.8,0
2,1-1-0,194,0,1,55.0,0
2,0-1-0,184,1,1,76.4,0
1,1-0-0,169,1,1,83.0,0
1,0-1-0,168,1,0,75.8,0
5,0-1-0,161,1,2,53.7,0
3,0-1-0,139,1,1,68.6,0
7,0-1-0,108,1,0,99.6,0
16,7-9-0,5109,33,30,84.3,0
16,8-8-0,4902,30,11,99.7,0
16,9-7-0,4638,22,16,86.5,0
16,5-11-0,4615,23,20,88.5,0
15,7-8-0,4466,26,14,92.1,0
16,11-5-0,4110,31,5,106.3,0
16,12-4-0,4057,24,8,88.0,0
16,7-9-0,4054,21,8,100.8,0
16,9-7-0,4039,27,7,93.1,0
14,11-3-0,4031,26,5,105.3,0
16,13-3-0,4002,26,4,95.4,0
16,13-3-0,3978,27,13,102.0,0
15,10-5-0,3852,26,12,98.0,0
16,6-10-0,3827,22,21,78.8,0
16,5-10-1,3722,20,12,87.4,0
15,10-5-0,3603,26,6,107.4,0
15,5-8-0,3529,20,13,85.5,0
13,2-11-0,3494,16,14,78.3,0
13,5-7-0,3322,17,16,80.0,0
14,6-6-0,3271,21,6,91.2,0
15,8-7-0,3138,17,10,83.0,0
15,13-2-0,3127,36,6,113.3,1
16,10-6-0,3089,20,9,85.3,0
13,3-9-0,3027,24,12,87.7,0
13,7-6-0,3024,19,13,84.3,0
11,8-3-0,2979,27,4,116.3,0
15,7-8-0,2942,18,6,88.0,0
12,7-3-0,2742,22,6,117.5,0
8,3-4-1,2499,19,5,106.0,0
8,2-6-0,1822,6,5,85.1,0
10,5-3-0,1765,13,9,82.0,0
10,1-7-0,1707,11,5,91.3,0
9,5-0-0,1384,9,2,99.1,0
9,2-5-0,1365,7,7,76.1,0
7,2-4-0,1203,7,2,92.3,0
8,3-3-0,1063,5,8,71.4,0
4,1-3-0,1042,6,5,82.6,0
5,4-1-0,1020,7,3,89.7,0
5,0-5-0,984,4,6,64.0,0
4,0-4-0,736,3,2,84.6,0
16,12-4-0,5097,50,12,113.8,1
